id,name,count,child_count,children
9527,"central glial substance, right",90.5097849097,0,1
9528,"cochlear nuclei",45.2548924549,0,11
9529,"cochlear nuclei, left",90.5097849097,0,5
9530,"dorsal cochlear nucleus, left",181.019569819,0,1
9531,"ventral cochlear nuclei, left",181.019569819,0,3
9532,"anteroventral cochlear nucleus, left",362.039139639,0,1
9533,"posteroventral cochlear nucleus, left",362.039139639,0,1
9534,"cochlear nuclei, right",90.5097849097,0,5
9535,"dorsal cochlear nucleus, right",181.019569819,0,1
9536,"ventral cochlear nuclei, right",181.019569819,0,3
9537,"anteroventral cochlear nucleus, right",362.039139639,0,1
9538,"posteroventral cochlear nucleus, right",362.039139639,0,1
9539,"conterminalis",45.2548924549,0,3
9540,"conterminalis, left",90.5097849097,0,1
9541,"conterminalis, right",90.5097849097,0,1
9542,"cuneate nucleus",107.254892455,62,3
9543,"cuneate nucleus, left",96.4639812201,0,1
9544,"cuneate nucleus, right",96.4639812201,0,1
9545,"dorsal motor nucleus of the vagus",45.2548924549,0,3
9546,"dorsal motor nucleus of the vagus, left",90.5097849097,0,1
9547,"dorsal motor nucleus of the vagus, right",90.5097849097,0,1
9548,"endolemniscal nucleus",45.2548924549,0,3
9549,"endolemniscal nucleus, left",90.5097849097,0,1
9550,"endolemniscal nucleus, right",90.5097849097,0,1
9551,"epifascicular nucleus",45.2548924549,0,3
9552,"epifascicular nucleus, left",90.5097849097,0,1
9553,"epifascicular nucleus, right",90.5097849097,0,1
9554,"gracile nucleus",45.2548924549,0,3
9555,"gracile nucleus, left",90.5097849097,0,1
9556,"gracile nucleus, right",90.5097849097,0,1
9557,"hypoglossal nucleus",45.2548924549,0,3
9558,"hypoglossal nucleus, left",90.5097849097,0,1
9559,"hypoglossal nucleus, right",90.5097849097,0,1
9560,"inferior olivary complex",45.2548924549,0,11
9561,"inferior olivary complex, left",90.5097849097,0,5
9562,"dorsal accessory inferior olivary nucleus, left",181.019569819,0,1
9563,"medial accessory inferior olivary nucleus, left",181.019569819,0,1
9564,"principal inferior olivary nucleus, left",181.019569819,0,1
9565,"inferior olivary complex, right",90.5097849097,0,5
9566,"dorsal accessory inferior olivary nucleus, right",181.019569819,0,1
